planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,ANTICIPATORY,50,5,1573.353823462516,1666.1366581955715,200.0,0.71941185
HEURISTIC,ANTICIPATORY_ONCE,50,5,1566.256299258907,1640.7917862923582,200.0,0.316295601
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,5,13311.354273048097,2073.9166351874383,200.0,0.310134919
MULTI_BOUND_G,MIXED_G,50,5,1563.9816243526009,1639.237871661552,6376.0,15.489840545
HEURISTIC,LAZY,50,6,1459.0291224521989,1534.6528089707906,200.0,0.31621756
HEURISTIC,DILIGENT,50,6,1525.420764692241,1526.5673824903015,200.0,9.7161845
HEURISTIC,ANTICIPATORY,50,6,1460.224991212296,1536.1624053900734,200.0,0.713038307
HEURISTIC,ANTICIPATORY_ONCE,50,6,1459.0291224521989,1534.6528089707906,200.0,0.31197485
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,6,5318.935967041503,1991.2328960092882,200.0,0.353795909
MULTI_BOUND_G,MIXED_G,50,6,1446.6839517076285,1519.7308111743869,6218.0,14.001907815
HEURISTIC,LAZY,50,7,1383.459190400696,1454.9650843022173,200.0,0.32357489
HEURISTIC,DILIGENT,50,7,1438.6473962327025,1436.8486577061747,200.0,10.638513103
HEURISTIC,ANTICIPATORY,50,7,1361.2328548933174,1428.8078639408404,200.0,0.717799481
HEURISTIC,ANTICIPATORY_ONCE,50,7,1383.459190400696,1454.9650843022173,200.0,0.310300264
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,7,8251.613111253104,1957.6288639673157,200.0,0.311715627
MULTI_BOUND_G,MIXED_G,50,7,1384.8385769736392,1453.243317836933,6308.0,14.94993498
HEURISTIC,LAZY,50,8,1319.8258495407272,1392.3880772901082,200.0,0.312482316
HEURISTIC,DILIGENT,50,8,1390.708977977409,1390.5957672792604,200.0,9.157002302
HEURISTIC,ANTICIPATORY,50,8,1328.0505946869703,1406.228410235587,200.0,0.759307548
HEURISTIC,ANTICIPATORY_ONCE,50,8,1319.8258495407272,1392.3880772901082,200.0,0.318095842
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,8,6903.902918944978,1712.5198556928915,200.0,0.319701339
MULTI_BOUND_G,MIXED_G,50,8,1309.7998235862194,1379.718033436356,5784.0,11.757684879
HEURISTIC,LAZY,50,9,1396.034453847055,1469.343214370614,200.0,0.314169165
HEURISTIC,DILIGENT,50,9,1461.500981480168,1465.9678321454576,200.0,9.675000674
HEURISTIC,ANTICIPATORY,50,9,1384.5993619494598,1460.6165089647945,200.0,0.712698057
HEURISTIC,ANTICIPATORY_ONCE,50,9,1396.034453847055,1469.343214370614,200.0,0.308496854
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,9,7102.718526427628,1960.2469141046583,200.0,0.309236412
MULTI_BOUND_G,MIXED_G,50,9,1388.7476117672072,1464.5504264279289,6307.0,14.437137306
HEURISTIC,LAZY,100,0,2742.9688933371517,2895.627725468206,400.0,1.234012073
HEURISTIC,DILIGENT,100,0,2853.5931454321917,2854.775108015317,400.0,39.743221486
HEURISTIC,ANTICIPATORY,100,0,2761.8254806263217,2895.8595737560536,400.0,4.402295595
HEURISTIC,ANTICIPATORY_ONCE,100,0,2742.9688933371517,2895.627725468206,400.0,1.28209303
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,0,23772.978883637574,4281.884770939521,400.0,1.295579108
MULTI_BOUND_G,MIXED_G,100,0,2743.2327372871628,2895.804240369754,6432.0,27.730076767
HEURISTIC,LAZY,100,1,2547.840460001416,2690.9808624196,400.0,1.290303069
HEURISTIC,DILIGENT,100,1,2718.3963613177943,2706.994296481915,400.0,36.505192338
HEURISTIC,ANTICIPATORY,100,1,2542.8191135672014,2702.3750223649718,400.0,4.432260922
HEURISTIC,ANTICIPATORY_ONCE,100,1,2547.840460001416,2690.9808624196,400.0,1.226154956
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,1,36672.27947345055,3889.354361505029,400.0,1.218794472
MULTI_BOUND_G,MIXED_G,100,1,2547.1309034804212,2690.4309289357448,6720.0,30.170429485
HEURISTIC,LAZY,100,2,2830.8464153230966,2982.973877512783,400.0,1.28644079
HEURISTIC,DILIGENT,100,2,2950.07533226025,2953.0136979412605,400.0,38.551751938
HEURISTIC,ANTICIPATORY,100,2,2793.236827367492,2957.4066686336478,400.0,4.365903827
HEURISTIC,ANTICIPATORY_ONCE,100,2,2830.8464153230966,2982.973877512783,400.0,1.217372445
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,2,39809.49448974061,4171.156297285032,400.0,1.370562988
MULTI_BOUND_G,MIXED_G,100,2,2828.303615940353,2981.0838258688163,6000.0,23.959164326
HEURISTIC,LAZY,100,3,2691.072394472591,2848.6886043936597,400.0,1.242547388
HEURISTIC,DILIGENT,100,3,2864.3370648405566,2870.928686366972,400.0,37.347507235
HEURISTIC,ANTICIPATORY,100,3,2701.138643451865,2854.224471185889,400.0,4.41928027
HEURISTIC,ANTICIPATORY_ONCE,100,3,2691.072394472591,2848.6886043936597,400.0,1.283355556
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,3,24495.963681284196,4031.5397752052186,400.0,1.3002994
MULTI_BOUND_G,MIXED_G,100,3,2690.596749761827,2847.3337558248504,7192.0,34.444181438
HEURISTIC,LAZY,100,4,2599.113608494845,2739.704316343536,400.0,1.288334924
